BAND,LOWER_POLITICAL,UPPER_POLITICAL,COUNTRY,ORIGIN_YEAR
The Gaslight Anthem,New Brunswick,New Jersey,USA,2006
Germs,Los Angeles,California,USA,1977
The Ghost,Chicago,Illinois,USA,2001
Ghost Mice,Bloomington,Indiana,USA,2002
The Gits,Yellow Springs,Ohio,USA,1986
Give Up the Ghost,Boston,Massachusetts,USA,1998
A Global Threat,Boston,Massachusetts,USA,1997
Gogol Bordello,Lower East Side,New York,USA,1999
Goldfinger,Los Angeles,California,USA,1994
Good Charlotte,Waldorf,Maryland,USA,1996
Good Clean Fun,Washington,D.C.,USA,1997
Good Riddance,Santa Cruz,California,USA,1986
Gorilla Biscuits,New York,New York,USA,1986
Government Issue,Washington,D.C.,USA,1980
Gray Matter,Washington,D.C.,USA,1983
Green Day,San Francisco,California,USA,1986
Green Jell√ø,Kenmore,New York,USA,1981
Greyskull,Dallas,Texas,USA,2001
Groovie Ghoulies,Sacramento,California,USA,1983
The Gun Club,Los Angeles,California,USA,1979
Guttermouth,Huntington Beach,California,USA,1988
GWAR,Richmond,Virginia,USA,1985
H2O,New York,New York,USA,1995
Hagfish,Dallas,Texas,USA,1991
Hatebreed,New Haven,Connecticut,USA,1994
Haunted Garage,Los Angeles,California,USA,1985
Have Heart,New Bedford,Massachusetts,USA,2002
Hazen Street,New York,New York,USA,2004
Heart Attack,New York,New York,USA,1980
The Heartbreakers,New York,New York,USA,1975
Hed PE,Huntington Beach,California,USA,1994
His Hero Is Gone,Memphis,Tennessee,USA,1995
Hit the Lights,Lima,Ohio,USA,2003
Hogan's Heroes,Toms River,New Jersey,USA,1984
Hole,Los Angeles,California,USA,1989
Home Grown,Orange County,California,USA,1994
The Honor System,Chicago,Illinois,USA,1999
The Hope Bombs,San Francisco,California,USA,1994
The Hope Conspiracy,Boston,Massachusetts,USA,1999
Hot Cross,Philadelphia,Pennsylvania,USA,2000
Hot Water Music,Gainesville,Florida,USA,1993
Ho99o9,Newark,New Jersey,USA,2012
Humble Gods,Hermosa Beach,California,USA,1990
The Huntingtons,Baltimore,Maryland,USA,1995
Husker Du,Minneapolis,Minnesota,USA,1979
I Am the Avalanche,Brooklyn,New York,USA,2004
I Prevail,Southfield,Michigan,USA,2013
The Icemen,New York,New York,USA,1982
Icon For Hire,Decatur,Illinois,USA,2007
Iggy Pop,Muskegon,Michigan,USA,1963
Ignite,Orange County,California,USA,1993
Los Illegals,Los Angeles,California,USA,1979
Indecision,New York,New York,USA,1993
The Influents,San Francisco,California,USA,1999
In My Eyes,Boston,Massachusetts,USA,1997
Inquisition,Richmond,Virginia,USA,1991
Inside Out,Orange County,California,USA,1988
International Robot,Minneapolis,Minnesota,USA,2000
Intro5pect,Orange County,California,USA,1997
Iron Cross,Baltimore,Maryland,USA,1982
Isocracy,Berkeley,California,USA,1986
The Jabbers,Manchester†,New Hampshire,USA,1977
Jackson United,Stana Barbara,California,USA,2003
Jack Off Jill,Fort Lauderdale,Florida,USA,1992
Jawbox,Washington,D.C.,USA,1989
Jawbreaker,San Francisco,California,USA,1988
J Church,San Francisco,California,USA,1992
Jello Biafra and the Guantanamo School of Medicine,Los Angeles,California,USA,2008
Jerry's Kids,Boston,Massachusetts,USA,1981
JFA,Phoenix,Arizona,USA,1981
Jimmy Eat World,Mesa,Arizona,USA,1993
Johnny Hobo and the Freight Trains,Brattleboro,Vermont,USA,1987
Jon Cougar Concentration Camp,San Diego,California,USA,1994
Johnny Socko,Bloomington,Indiana,USA,1990
The Joneses,Hollywood,California,USA,1979
Joyce Manor,Torrance,California,USA,2008
The Joykiller,Huntington Beach,California,USA,1995
Judge,New York,New York,USA,1987
Jughead's Revenge,Los Angeles,California,USA,1988
Justice League,Ontario,California,USA,1983
Kid Dynamite,Philadelphia,Pennsylvania,USA,1997
Killing Time,New York,New York,USA,1988
Kill Your Idols,Long Island York,New York,USA,1995
Kiss It Goodbye,Seattle,Washington,USA,1997
The Kominas,Boston,Massachusetts,USA,2004
Kraut,New York,New York,USA,1981
Die Kreuzen,Milwaukee,Wisconsin,USA,1981
